epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,5053.75,0.68839,0.44092,0.91668,0.8979,0.91409,0.95879,0.842,0.69226,0.44948,0.93443,0.00055188,0.00055188,0.00055188
64,5141.23,0.68586,0.43978,0.91501,0.91386,0.90809,0.95866,0.84039,0.6957,0.45147,0.93673,0.000537733,0.000537733,0.000537733
65,5224.14,0.69007,0.44033,0.91419,0.92102,0.898,0.95778,0.84455,0.69378,0.44848,0.93742,0.000523586,0.000523586,0.000523586
66,5302.96,0.68983,0.43996,0.91553,0.91804,0.89869,0.95955,0.84551,0.6881,0.44176,0.93521,0.000509438,0.000509438,0.000509438
67,5381.86,0.67982,0.43554,0.91187,0.90999,0.89887,0.95991,0.84769,0.68271,0.44352,0.93363,0.000495291,0.000495291,0.000495291
68,5463.44,0.68258,0.43518,0.9145,0.90774,0.90079,0.9555,0.8459,0.68194,0.44208,0.93345,0.000481144,0.000481144,0.000481144
69,5543.87,0.67869,0.43294,0.91023,0.91655,0.9066,0.95939,0.84684,0.68513,0.44455,0.93532,0.000466997,0.000466997,0.000466997
70,5625.08,0.67187,0.42908,0.91044,0.90955,0.90507,0.96034,0.84916,0.67895,0.44065,0.93118,0.00045285,0.00045285,0.00045285
71,5707.35,0.67586,0.42793,0.90997,0.90556,0.90039,0.9581,0.84937,0.68253,0.43808,0.93458,0.000438703,0.000438703,0.000438703
72,5788.55,0.67516,0.43041,0.91235,0.91276,0.91055,0.95964,0.85217,0.68191,0.43331,0.93401,0.000424556,0.000424556,0.000424556
73,5868.38,0.67066,0.42304,0.90961,0.91349,0.91356,0.95939,0.84846,0.6814,0.43524,0.93321,0.000410409,0.000410409,0.000410409
74,5949.28,0.66793,0.42351,0.90812,0.90476,0.90317,0.95886,0.84514,0.68231,0.43262,0.93572,0.000396262,0.000396262,0.000396262
75,6028.27,0.66428,0.41914,0.908,0.91259,0.90789,0.96048,0.8486,0.67881,0.43004,0.9328,0.000382115,0.000382115,0.000382115
76,6107.22,0.66776,0.42097,0.90742,0.91322,0.9007,0.95609,0.84434,0.67858,0.43849,0.93174,0.000367967,0.000367967,0.000367967
77,6189.4,0.67024,0.42498,0.90898,0.92443,0.89677,0.96046,0.84344,0.676,0.42928,0.93204,0.00035382,0.00035382,0.00035382
78,6273.38,0.65752,0.41442,0.90486,0.91672,0.89872,0.95934,0.84608,0.67951,0.42895,0.93223,0.000339673,0.000339673,0.000339673
79,6354.36,0.65373,0.4151,0.90504,0.89667,0.91132,0.95972,0.84935,0.67225,0.43113,0.93108,0.000325526,0.000325526,0.000325526
80,6433.19,0.65812,0.4124,0.9048,0.91087,0.90344,0.95894,0.84888,0.67133,0.42699,0.9307,0.000311379,0.000311379,0.000311379
81,6512.01,0.6549,0.41127,0.90253,0.90915,0.91292,0.95662,0.84679,0.66982,0.42723,0.93058,0.000297232,0.000297232,0.000297232
82,6590.81,0.65366,0.41109,0.90445,0.91219,0.91379,0.96144,0.85363,0.67027,0.42863,0.92914,0.000283085,0.000283085,0.000283085
83,6669.74,0.64975,0.41067,0.90365,0.91365,0.91595,0.96068,0.8584,0.66483,0.42384,0.9278,0.000268938,0.000268938,0.000268938
84,6748.64,0.64968,0.40865,0.90421,0.90889,0.9164,0.96161,0.8581,0.6642,0.422,0.92801,0.000254791,0.000254791,0.000254791
85,6827.39,0.64765,0.4043,0.90366,0.90917,0.91448,0.96183,0.85392,0.66771,0.42233,0.93083,0.000240644,0.000240644,0.000240644
86,6906.29,0.6459,0.40533,0.90283,0.91463,0.91434,0.96095,0.85507,0.66624,0.42344,0.93089,0.000226497,0.000226497,0.000226497
87,6985.09,0.64279,0.40216,0.89985,0.91546,0.9209,0.96154,0.85386,0.66609,0.42144,0.92969,0.000212349,0.000212349,0.000212349
88,7063.78,0.64172,0.40314,0.90245,0.91444,0.90978,0.9604,0.8547,0.66314,0.42122,0.92815,0.000198202,0.000198202,0.000198202
89,7142.4,0.63208,0.39535,0.89703,0.91308,0.91404,0.96036,0.85347,0.66399,0.42031,0.92869,0.000184055,0.000184055,0.000184055
90,7221.23,0.63551,0.3945,0.89775,0.91699,0.91108,0.95903,0.85401,0.66242,0.41958,0.92807,0.000169908,0.000169908,0.000169908
91,7301.2,0.66428,0.41211,0.91427,0.90937,0.92138,0.95875,0.84746,0.66834,0.42343,0.93001,0.000155761,0.000155761,0.000155761
92,7381.59,0.65656,0.40696,0.91384,0.91497,0.91805,0.961,0.85717,0.66682,0.41874,0.92937,0.000141614,0.000141614,0.000141614
93,7460.13,0.65175,0.40491,0.90997,0.91257,0.91519,0.95863,0.85541,0.66147,0.4199,0.92699,0.000127467,0.000127467,0.000127467
94,7538.42,0.64814,0.40468,0.9103,0.91508,0.91852,0.96064,0.85664,0.66201,0.41885,0.9279,0.00011332,0.00011332,0.00011332
95,7616.89,0.64585,0.40225,0.90785,0.91015,0.91966,0.96045,0.85742,0.66045,0.41906,0.92806,9.91726e-05,9.91726e-05,9.91726e-05
96,7695.3,0.64191,0.39696,0.90552,0.91137,0.90931,0.95903,0.857,0.65891,0.4196,0.92713,8.50255e-05,8.50255e-05,8.50255e-05
97,7773.8,0.63921,0.39459,0.90476,0.90744,0.91218,0.96023,0.8557,0.66014,0.41922,0.92695,7.08784e-05,7.08784e-05,7.08784e-05
98,7852.25,0.63631,0.39277,0.90236,0.91262,0.90872,0.95909,0.85205,0.6613,0.41831,0.92789,5.67313e-05,5.67313e-05,5.67313e-05
99,7931.3,0.63563,0.39071,0.90389,0.90699,0.91891,0.95941,0.85657,0.6591,0.4162,0.92759,4.25842e-05,4.25842e-05,4.25842e-05
100,8010.6,0.63275,0.38874,0.90197,0.91565,0.92007,0.96022,0.85514,0.66144,0.41628,0.92806,2.84371e-05,2.84371e-05,2.84371e-05
